action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,False,,,,,,,,,,,True,,44.7890625,,,922.9457154870033,long,True,True,,False,,7108.064453125,False,full_lru,,0.0,full precision exact profile,,,,,session_059_turn_001,,,8196.48828125,,,,session_059,chat,377.6005543768406,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,2.078125,,,2412.550460547209,short,True,True,,False,,6608.4873046875,False,full_lru,,0.0,full precision exact profile,,,,,session_060_turn_000,,,8155.28125,,,,session_060,chat,1914.515893906355,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,30.515625,,,816.2817247211933,long,True,True,,False,,6940.9189453125,False,full_lru,,0.0,full precision exact profile,,,,,session_060_turn_001,,,8196.48828125,,,,session_060,chat,256.0556046664715,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,41.0703125,,,869.4601245224476,long,True,True,,False,,7064.96484375,False,full_lru,,0.0,full precision exact profile,,,,,session_060_turn_002,,,8196.48828125,,,,session_060,chat,316.8123587965965,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.421875,,,546.2083928287029,short,True,True,,False,,6600.3291015625,False,full_lru,,0.0,full precision exact profile,,,,,session_061_turn_000,,,8155.28125,,,,session_061,chat,36.07406094670296,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,25.2109375,,,2628.477241843939,long,True,True,,False,,6880.1005859375,False,full_lru,,0.0,full precision exact profile,,,,,session_061_turn_001,,,8170.40625,,,,session_061,chat,2084.8427042365074,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,2.2421875,,,546.3638566434383,short,True,True,,False,,6609.7041015625,False,full_lru,,0.0,full precision exact profile,,,,,session_062_turn_000,,,8155.28125,,,,session_062,chat,51.56588554382324,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,22.3125,,,757.1372650563717,long,True,True,,False,,6844.2587890625,False,full_lru,,0.0,full precision exact profile,,,,,session_062_turn_001,,,8170.40625,,,,session_062,chat,221.45012766122818,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,44.296875,,,876.653142273426,long,True,True,,False,,7103.1982421875,False,full_lru,,0.0,full precision exact profile,,,,,session_062_turn_002,,,8170.40625,,,,session_062,chat,357.99750685691833,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,34.1796875,,,804.3214716017246,long,True,True,,False,,6983.2802734375,False,full_lru,,0.0,full precision exact profile,,,,,session_063_turn_000,,,8170.40625,,,,session_063,chat,275.45515075325966,0
